distance,x,y,value
2.416833667334669400e+01,4.000000000000000000e+01,2.416833667334669400e+01,9.784735812133077415e-01
2.434869739478958195e+01,4.000000000000000000e+01,2.434869739478958195e+01,9.784735812133078525e-01
2.452905811623246635e+01,4.000000000000000000e+01,2.452905811623246635e+01,6.743428147880901946e+00
2.470941883767535430e+01,4.000000000000000000e+01,2.470941883767535430e+01,1.377549619787527035e+01
2.488977955911823869e+01,4.000000000000000000e+01,2.488977955911823869e+01,2.078764181984326243e+01
2.507014028056112309e+01,4.000000000000000000e+01,2.507014028056112309e+01,2.580817211722859383e+01
2.525050100200401104e+01,4.000000000000000000e+01,2.525050100200401104e+01,2.868494980829241214e+01
2.543086172344689544e+01,4.000000000000000000e+01,2.543086172344689544e+01,3.085652060807854014e+01
2.561122244488977984e+01,4.000000000000000000e+01,2.561122244488977984e+01,3.212020910705957988e+01
2.579158316633266779e+01,4.000000000000000000e+01,2.579158316633266779e+01,2.894637285007072691e+01
2.597194388777555218e+01,4.000000000000000000e+01,2.597194388777555218e+01,2.664127995063848786e+01
2.615230460921844013e+01,4.000000000000000000e+01,2.615230460921844013e+01,2.529669907329341783e+01
2.633266533066132453e+01,4.000000000000000000e+01,2.633266533066132453e+01,2.443728945170189704e+01
2.651302605210420893e+01,4.000000000000000000e+01,2.651302605210420893e+01,2.377396672013308176e+01
2.669338677354709688e+01,4.000000000000000000e+01,2.669338677354709688e+01,2.360980277580607734e+01
2.687374749498998128e+01,4.000000000000000000e+01,2.687374749498998128e+01,2.276848543793398250e+01
2.705410821643286923e+01,4.000000000000000000e+01,2.705410821643286923e+01,2.115811531739279161e+01
2.723446893787575362e+01,4.000000000000000000e+01,2.723446893787575362e+01,1.545488890370432422e+01
2.741482965931863802e+01,4.000000000000000000e+01,2.741482965931863802e+01,9.156499561418991462e+00
2.759519038076152597e+01,4.000000000000000000e+01,2.759519038076152597e+01,5.740326053280672802e+00
2.777555110220441037e+01,4.000000000000000000e+01,2.777555110220441037e+01,3.092656284519441190e+00
2.795591182364729832e+01,4.000000000000000000e+01,2.795591182364729832e+01,1.341574211698009167e+00
2.813627254509018272e+01,4.000000000000000000e+01,2.813627254509018272e+01,9.784735812133078525e-01
2.831663326653306711e+01,4.000000000000000000e+01,2.831663326653306711e+01,9.784735812133078525e-01
2.849699398797595506e+01,4.000000000000000000e+01,2.849699398797595506e+01,9.784735812133078525e-01
2.867735470941883946e+01,4.000000000000000000e+01,2.867735470941883946e+01,9.784735812133078525e-01
2.885771543086172386e+01,4.000000000000000000e+01,2.885771543086172386e+01,9.784735812133078525e-01
2.903807615230461181e+01,4.000000000000000000e+01,2.903807615230461181e+01,9.784735812133078525e-01
2.921843687374749621e+01,4.000000000000000000e+01,2.921843687374749621e+01,9.784735812133079635e-01
2.939879759519038416e+01,4.000000000000000000e+01,2.939879759519038416e+01,9.784735812133078525e-01
2.957915831663326856e+01,4.000000000000000000e+01,2.957915831663326856e+01,9.784735812133079635e-01
2.975951903807615295e+01,4.000000000000000000e+01,2.975951903807615295e+01,9.784735812133078525e-01
